    0.238491827249526978E+01    0.198781012173533463E+10    0.173712413311004639E+04   -0.565296316146850586E+01   -0.332727062702178955E+01   -0.859335064888000488E+00   -0.303090262413024902E+01   -0.516450691223144531E+01   -0.309979773915085693E+13   -0.599146350544150419E+01    1
    0.208570101857185364E+01    0.199916308525919914E+10    0.909907388687133789E+03   -0.488344335556030273E+01   -0.202790451049804688E+01   -0.456084144115447998E+01   -0.461654591560363770E+01   -0.287564849853515625E+01   -0.629986354659708252E+12   -0.599396350544151169E+01    1
    0.214814487099647522E+01    0.191245347623109841E+10    0.133632092475891113E+04   -0.522810792922973633E+01   -0.481805777549743652E+01   -0.333992171287536621E+01   -0.250185048580169678E+01   -0.491612470149993896E+01   -0.368080289070308456E+11   -0.599646350544151474E+01    1
    0.208685758709907532E+01    0.188106139532446861E+10    0.226682834625244141E+04   -0.120354557037353516E+01   -0.172390723228454590E+01   -0.393942117691040039E+00   -0.307402288913726807E+01   -0.202521514892578125E+01   -0.256227101256662025E+11   -0.599896350544151957E+01    1
    0.240424489974975586E+01    0.177378720765113831E+10    0.195971767902374268E+04   -0.557724618911743164E+01   -0.170661020278930664E+01   -0.502833402156829834E+01   -0.272762918472290039E+01   -0.506461250782012939E+01   -0.141889223929464874E+11   -0.600146350544151552E+01    1
    0.232138773798942566E+01    0.240427805062294006E+10    0.187943940162658691E+04   -0.595013809204101562E+01   -0.436692738533020020E+01   -0.505364084243774414E+01   -0.376479470729827881E+01   -0.267555642127990723E+01   -0.821250868207704735E+10   -0.600396350544151858E+01    1
    0.229132384061813354E+01    0.223778400363802958E+10    0.173409895896911621E+04   -0.525119972229003906E+01   -0.556913495063781738E+01   -0.462053382396697998E+01   -0.546215629577636719E+01   -0.464983820915222168E+01   -0.722076187530389404E+10   -0.600646350544151630E+01    1
    0.204515144228935242E+01    0.183660553903102875E+10    0.206836538314819336E+04   -0.388427257537841797E+01   -0.191595983505249023E+01   -0.586150610446929932E+01   -0.178468644618988037E+01   -0.551756179332733154E+01   -0.664305433421087170E+10   -0.600896350544152469E+01    1
    0.236530146002769470E+01    0.151554645747423172E+10    0.138834087848663330E+04   -0.191457128524780273E+01   -0.122534537315368652E+01   -0.118722474575042725E+01   -0.539877855777740479E+01   -0.177754640579223633E+01   -0.606259012962530899E+10   -0.601146350544151886E+01    1
    0.244132372736930847E+01    0.154677777473688126E+10    0.199778585433959961E+04    0.403084278106689453E+00   -0.364794015884399414E+01   -0.446132469177246094E+01   -0.592062628269195557E+01   -0.191964375972747803E+01   -0.474323394047591305E+10   -0.601396350544150859E+01    1
    0.219301134347915649E+01    0.228644755037069321E+10    0.227127807140350342E+04   -0.475970172882080078E+01   -0.517236042022705078E+01   -0.493493270874023438E+01   -0.223449432849884033E+01   -0.490408623218536377E+01   -0.404129074837947178E+10   -0.601646350544151520E+01    1
    0.205568844079971313E+01    0.246872126990675926E+10    0.135448198318481445E+04    0.180492401123046875E-01   -0.315982282161712646E+01   -0.154727625846862793E+01   -0.316694211959838867E+01   -0.135458672046661377E+01   -0.338345999688559008E+10   -0.601896350544151559E+01    1
