bin	 binerr	 trdepth	 tr_error
2.340934594000000146e+00	 1.648616799999999549e-02	 2.357175748431714069e-02	 8.449626350000000294e-05
2.389986436000000047e+00	 1.621568199999999862e-02	 2.345254717776868586e-02	 8.997318382000000722e-05
2.438239494999999923e+00	 1.595389799999999761e-02	 2.333714309747685761e-02	 7.673551433999999648e-05
2.485718567999999795e+00	 1.569986300000000140e-02	 2.339640212742124387e-02	 7.637426639000000864e-05
2.532448848000000030e+00	 1.545453100000000052e-02	 2.385349623280603668e-02	 7.572930446999999964e-05
2.578454653000000096e+00	 1.521718499999999939e-02	 2.374212457535252938e-02	 7.733477498000000227e-05
2.623760780000000015e+00	 1.498794600000000025e-02	 2.349154210571544055e-02	 8.513806228000000184e-05
2.668390591999999728e+00	 1.476633499999999849e-02	 2.438866157135570478e-02	 8.591388517999999327e-05
2.712366500999999985e+00	 1.455211599999999862e-02	 2.418892045353831372e-02	 1.118984957000000003e-04
2.755711554999999979e+00	 1.434564600000000009e-02	 2.380372225612103348e-02	 2.117883493000000019e-04
2.798446654999999783e+00	 1.414549399999999978e-02	 2.412085103076598916e-02	 1.984354848000000103e-04
2.840592623000000039e+00	 1.395249399999999931e-02	 2.428218548474798608e-02	 2.236047087999999987e-04
2.882168531000000034e+00	 1.376569300000000072e-02	 2.343008081373060270e-02	 2.017652687000000115e-04
2.923193932000000217e+00	 1.358509100000000053e-02	 2.345520283535013767e-02	 2.061493352000000074e-04
2.963686227999999812e+00	 1.341032999999999982e-02	 2.375400338071318243e-02	 2.167190859000000136e-04
3.003663062999999855e+00	 1.324140999999999860e-02	 2.350136495457165464e-02	 2.165619775000000131e-04
3.043140729000000100e+00	 1.307761699999999798e-02	 2.359866400285794141e-02	 2.044483946999999836e-04
3.082134803000000201e+00	 1.291918799999999812e-02	 2.369961939959971259e-02	 2.119428637999999914e-04
3.120661099999999966e+00	 1.276552700000000047e-02	 2.353170755177649495e-02	 2.025266983999999876e-04
3.158733129999999445e+00	 1.261639599999999847e-02	 2.385948632863088212e-02	 2.007614514999999961e-04
3.196365196999999991e+00	 1.247203399999999990e-02	 2.382771415545630045e-02	 1.916695205000000046e-04
3.233570099000000031e+00	 1.233172400000000050e-02	 2.401722692700698422e-02	 1.929281158999999991e-04
3.270360628999999353e+00	 1.219534899999999769e-02	 2.365869100945615713e-02	 1.944730300999999864e-04
3.306748548999999926e+00	 1.206362199999999781e-02	 2.341824514726100967e-02	 1.909706552999999960e-04
3.342745462999999528e+00	 1.193511499999999961e-02	 2.414580911404870869e-02	 1.872535229999999881e-04
3.378362893999999450e+00	 1.180994500000000051e-02	 2.381008354510032871e-02	 2.225437082999999917e-04
3.413610379000000083e+00	 1.168882800000000007e-02	 2.402662456813798794e-02	 2.008547978999999895e-04
3.448498725999999959e+00	 1.157045399999999911e-02	 2.366329279573011618e-02	 1.909473355000000010e-04
3.483037313000000079e+00	 1.145553599999999880e-02	 2.372686484359141576e-02	 1.052877095999999992e-04
3.517235278999999881e+00	 1.134336000000000025e-02	 2.356786592526729368e-02	 1.026779889000000069e-04
3.551101764000000216e+00	 1.123440299999999871e-02	 2.333788142132142696e-02	 1.161237587000000008e-04
3.584645429999999688e+00	 1.112818699999999945e-02	 2.335289976892281419e-02	 1.214220365000000072e-04
3.617873986999999847e+00	 1.102459400000000041e-02	 2.320029786647389777e-02	 1.340775921999999998e-04
3.650795697999999589e+00	 1.092374299999999965e-02	 2.309378744410566994e-02	 1.197140231000000073e-04
